scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00001.png,29.073991,-0.463922,57.676704,0.363691,0.0008349999999999,0.929076,-0.067424,29.31263542175293,-0.4537806808948517,58.221099853515625,0.3616940677165985,0.0006279787630774,0.9298442602157592,-0.0675775408744812
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00003.png,29.00091500000001,-0.4107770000000001,57.663726,0.367913,-0.002151,0.927411,-0.067447,29.2094669342041,-0.4490779042243957,58.207855224609375,0.366334855556488,-0.0010637933155521,0.9279808402061462,-0.0681848376989364
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00007.png,26.958042,-0.346486,57.917187,0.345372,-0.0171909999999999,0.925449,-0.154813,27.127660751342773,-0.3887809216976166,58.51517105102539,0.3421879112720489,-0.0167564991861581,0.9267273545265198,-0.1542825996875763
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00008.png,26.345964,-0.325265,57.998502,0.290611,-0.006137,0.94253,-0.164795,26.535512924194336,-0.3356979191303253,58.59260177612305,0.2894293367862701,-0.0044144634157419,0.9428018927574158,-0.1653351783752441
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00009.png,25.818842,-0.364843,57.938979,0.247378,0.005229,0.9467,-0.206255,25.97893524169922,-0.3624612689018249,58.50815963745117,0.2422830462455749,0.005760105792433,0.948198676109314,-0.20538991689682
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00011.png,24.467539,-0.319269,58.32713199999999,0.257582,-0.01543,0.944928,-0.201323,24.408082962036133,-0.3141738474369049,58.870338439941406,0.2518348693847656,-0.0133710047230124,0.9462270140647888,-0.2026200145483017
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00013.png,23.184005,-0.052428,58.370963,0.314494,0.022008,0.944671,-0.090616,23.35845375061035,-0.1253962069749832,58.96173095703125,0.3121387958526611,0.022076454013586,0.945389688014984,-0.0912157222628593
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00014.png,22.523142,-0.179594,58.333107,0.338684,0.037584,0.938333,-0.058446,22.67382431030273,-0.1264107674360275,58.921043395996094,0.3361023068428039,0.0373441576957702,0.9393280744552612,-0.057474497705698
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00015.png,21.972506,-0.041646,58.109403,0.328296,0.019473,0.94262,-0.057558,22.03013801574707,-0.0398130565881729,58.71389389038086,0.3263370394706726,0.0203433036804199,0.9433630108833312,-0.0561831854283809
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00016.png,21.362206,0.009061,57.964353,0.296417,0.022424,0.951944,-0.073741,21.484294891357425,-0.0287886131554842,58.62389755249024,0.2934288084506988,0.0220624320209026,0.9529852867126464,-0.0723316892981529
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00018.png,20.346562,0.020351,57.08799499999999,0.304585,0.033759,0.949834,-0.062549,20.50462532043457,0.0027857264503836,57.72502899169922,0.3035231828689575,0.0347453281283378,0.9501476883888244,-0.0623363517224788
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00019.png,19.895007,0.119717,56.55171,0.332651,-0.0068819999999999,0.939522,-0.081242,19.999610900878903,0.1108376234769821,57.10737228393555,0.3317783772945404,-0.0059665739536285,0.9398452043533324,-0.0811084359884262
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00021.png,19.523317,0.404936,54.979447,0.313087,0.0033,0.940249,-0.1337809999999999,19.57490348815918,0.320936769247055,55.41320037841797,0.311162531375885,0.0024071105290204,0.940803587436676,-0.1343899816274643
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00023.png,19.825283,0.1892,53.932237,0.359852,-0.042693,0.913465,-0.185117,19.947444915771484,0.1300054937601089,54.312286376953125,0.3594372272491455,-0.0435772389173507,0.913240134716034,-0.1868111491203308
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00024.png,19.91371,-0.088237,53.224587,0.383062,-0.080869,0.8845860000000001,-0.253447,19.938817977905277,-0.0490835458040237,53.5860595703125,0.38002410531044,-0.0802660658955574,0.8850785493850708,-0.256466269493103
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00025.png,20.019969,-0.089864,52.74580699999999,0.412633,-0.078586,0.8639379999999999,-0.277798,19.921607971191406,-0.1104640513658523,53.06572341918945,0.4111736416816711,-0.0784883350133895,0.8642322421073914,-0.2790670692920685
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00026.png,20.023871,-0.023391,52.391381,0.407451,-0.096198,0.8581040000000001,-0.29731,19.927698135375977,-0.0941667109727859,52.61735534667969,0.4047493040561676,-0.0968974232673645,0.8589392304420471,-0.2983493506908417
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00027.png,19.847097,-0.032295,51.906843,0.441428,-0.072384,0.868034,-0.215458,19.86481475830078,-0.0784228295087814,52.19178771972656,0.4395846724510193,-0.0735626518726348,0.8681973218917847,-0.2181450277566909
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00029.png,18.872564,0.1421319999999999,51.39633,0.4358770000000001,-0.005346,0.8974469999999999,-0.067605,18.962980270385746,0.1602416783571243,51.65349960327149,0.4329511225223541,-0.0047249658964574,0.898836076259613,-0.068004310131073
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00030.png,18.249958,0.164565,51.168895,0.424911,0.028859,0.903814,-0.041705,18.248449325561523,0.1809726506471634,51.33038711547852,0.4212170243263244,0.0301921106874942,0.9055513739585876,-0.0405137315392494
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00031.png,17.621610999999994,0.082433,51.216589,0.390847,0.000194,0.919924,-0.031338,17.65355682373047,0.0981688350439071,51.42448043823242,0.3877811729907989,0.0007410736870951,0.921248733997345,-0.0304334890097379
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00032.png,16.967671,0.214801,51.281515,0.363207,0.018069,0.927322,-0.088501,17.053997039794922,0.2166963666677475,51.52742385864258,0.3613142669200897,0.0194286480545997,0.9280520677566528,-0.0882826894521713
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00033.png,16.335067000000002,0.1648079999999999,51.432866,0.270412,0.004336,0.958227,-0.093081,16.434968948364258,0.1483476012945175,51.69032669067383,0.2681398093700409,0.0053309015929698,0.9588708877563475,-0.092947706580162
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00034.png,15.722834,0.184082,51.443459,0.219652,0.01567,0.966788,-0.129764,15.783655166625977,0.2254480272531509,51.64555740356445,0.2192029654979705,0.0160650946199893,0.9668772220611572,-0.1297705173492431
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00038.png,12.958501,0.3479,51.799497,0.098136,-0.018571,-0.973993,0.20345,12.79065990447998,0.352559357881546,52.03598785400391,0.0944800525903701,-0.0172583535313606,-0.9734452962875366,0.2077976018190384
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00040.png,11.744646,0.422347,51.998801,0.133758,-0.035195,-0.978283,0.15452,11.820401191711426,0.4160892069339752,52.31256484985352,0.1352085024118423,-0.0343540869653224,-0.9777113199234008,0.1569046527147293
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00042.png,10.142138,0.383716,52.45765,0.11811,-0.0348,-0.984968,0.121476,10.193123817443848,0.3825594782829284,52.80467987060547,0.1158441603183746,-0.0332026965916156,-0.9851035475730896,0.1226731240749359
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00044.png,8.69635,0.437192,53.002003,0.1675819999999999,-0.04427,-0.971498,0.16172,8.808004379272461,0.4322139322757721,53.460147857666016,0.1666325032711029,-0.0443592742085456,-0.9714033603668212,0.1632221341133117
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00045.png,7.846500999999999,0.483893,53.007203,0.206342,-0.079834,-0.956007,0.192641,8.008526802062988,0.4441837668418884,53.46025848388672,0.2055383771657943,-0.0798045620322227,-0.95535808801651,0.196662500500679
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00046.png,7.208525999999999,0.510307,53.30384300000001,0.209422,-0.090819,-0.955089,0.188964,7.454172611236572,0.5272155404090881,53.79594421386719,0.2094990164041519,-0.0900771021842956,-0.9545903205871582,0.1917125284671783
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00049.png,5.2556980000000015,0.6117640000000001,53.154737,0.1531,-0.08459,-0.948724,0.263403,5.373458862304688,0.5842846035957336,53.58563995361328,0.1520643532276153,-0.0838250964879989,-0.9485138058662416,0.2648988962173462
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00050.png,4.622180999999999,0.647111,53.136718,0.154937,-0.063077,-0.956092,0.240659,4.75757360458374,0.5849931836128235,53.54322814941406,0.1543536484241485,-0.0622025914490222,-0.9560076594352722,0.2415679544210434
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00052.png,3.4056550000000003,0.509205,52.903608,0.222477,-0.0754,-0.9672,0.096677,3.7313153743743896,0.5737741589546204,53.29232025146485,0.2210985273122787,-0.0741950199007988,-0.9673234820365906,0.0994776934385299
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00053.png,2.833771,0.698364,52.56916700000001,0.30773,-0.073547,-0.944933,0.083678,3.106783390045166,0.6676293015480042,53.04920196533203,0.3125289976596832,-0.0739507600665092,-0.9432479739189148,0.0845002830028534
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00054.png,2.275461,0.703499,52.354166,0.36623,-0.080734,-0.92443,0.0692049999999999,2.4538724422454834,0.6324841380119324,52.79314804077149,0.3675386011600494,-0.0814028829336166,-0.9237691760063172,0.0702811405062675
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00055.png,1.7439349999999998,0.7717390000000001,52.211885,0.408652,-0.064108,-0.910037,0.026967,1.847439885139465,0.6983943581581116,52.64640426635742,0.4090183079242706,-0.0639538839459419,-0.9098562002182008,0.0278507377952337
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00057.png,1.037557,0.632736,52.177174,0.420266,-0.0978,-0.890109,0.146694,1.1382757425308228,0.6324319243431091,52.66275024414063,0.4199004471302032,-0.0989685729146003,-0.889886736869812,0.1482915431261062
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00058.png,0.794613,0.7022,52.441444,0.40764,-0.103396,-0.887217,0.189709,0.8735828995704651,0.672800600528717,52.96226501464844,0.4073115289211273,-0.103934422135353,-0.8869442939758301,0.1913758069276809
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00059.png,0.533199,0.625093,52.49028000000001,0.384027,-0.12465,-0.8899450000000001,0.212106,0.6449396014213562,0.6670641303062439,52.97481536865234,0.3853128552436828,-0.1248397603631019,-0.889215350151062,0.2127088904380798
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00060.png,0.109745,0.730574,52.590547,0.44958,-0.130091,-0.8463280000000001,0.254329,0.1922276020050048,0.675264835357666,52.918338775634766,0.4468057453632355,-0.1297385841608047,-0.8479359149932861,0.2540417313575744
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00062.png,-0.779155,0.978068,52.146293,0.384195,-0.074477,-0.8934219999999999,0.220562,-0.6778603792190552,0.8773434162139893,52.545406341552734,0.3820551633834839,-0.0765852183103561,-0.893643319606781,0.2226434201002121
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00064.png,-1.821121,0.84083,51.317935,0.144223,-0.071226,-0.977746,0.134755,-1.7216911315917969,0.7923374772071838,51.65577697753906,0.1433926969766616,-0.071200855076313,-0.9777237176895142,0.1357397586107254
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00066.png,-3.039429,0.846403,50.656551,0.130997,-0.096917,-0.975448,0.1481579999999999,-2.849576950073242,0.8207007646560669,51.20046615600586,0.1270650774240493,-0.0953295081853866,-0.9758270978927612,0.1500940471887588
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00068.png,-4.236742,0.885396,50.222422,0.233247,-0.075576,-0.958908,0.142771,-4.314554214477539,0.9057388305664062,50.59146499633789,0.2330447882413864,-0.0752546414732933,-0.9588768482208252,0.1434647887945175
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00070.png,-5.253685,1.005845,50.041476,0.213412,-0.08587,-0.965039,0.125635,-5.276742935180664,0.9680193066596984,50.38069915771485,0.2105645835399627,-0.084811694920063,-0.9656015038490297,0.126820296049118
