chess,fire,heads,office,pumpkin,redkitchen,stairs
7.729013119531504,13.885018629482587,12.720997165015413,8.856785325124186,10.833094290733559,11.347619193164585,10.568501599933716
7.5567358925350545,13.682826295296502,12.459440957255433,8.663112728579117,10.481021952026033,11.151244664059666,10.399030774144132
7.374369784141294,13.427842313849268,12.35425207107377,8.525977376924663,10.007812602830493,10.954837638933013,10.280267776799818
7.1700074105952485,13.071920508894511,12.137420745377062,8.357777593375625,9.758028490213603,10.733237522828434,10.059582876615128
6.950074345343561,12.839664363865428,11.859291077990145,8.193094460887076,9.43668181997344,10.522346321644507,9.942470974303461
6.788481193928081,12.43418844698813,11.657147675010725,7.977079614350872,9.192355006653766,10.310049984311027,9.829347071852826
6.592183462188132,12.127127453585477,11.399664621406506,7.7787042046837405,8.744414962273519,10.130945019587074,9.650936861669695
6.434207271493604,11.810753936166902,11.150041303940016,7.579779355251659,8.42924140360945,9.895076818451823,9.495701319891534
6.286020552572301,11.489070278464023,10.818289470263965,7.387733561185253,8.133377347058103,9.675671314741441,9.288724254030495
6.117597129082851,11.27601986420389,10.546409016064228,7.2243341595185395,7.997655318957568,9.463033498030036,9.166212671126747
5.972329993043771,11.040895533455503,10.239662844316925,7.069769703195756,7.767302453876815,9.289824263307029,9.044777127109228
5.811339399616666,10.759739731257856,9.98749275048913,6.86036077749872,7.503439063505001,9.118783978116879,8.813582643515085
5.658929776724685,10.533064346891562,9.752403634918783,6.596658482941671,7.332109717835798,8.931929719919074,8.55972939958285
5.485095522634907,10.27436849780822,9.365769556108491,6.404118926531032,7.073747741388837,8.650920472524103,8.407770311956462
5.3458060395132225,10.014028170850928,9.207380636264752,6.198779434426097,6.890523513762036,8.355740580463323,8.15856884732461
5.206097212185627,9.711214913322909,9.011420692088953,6.025612930710516,6.702417287726596,8.138180764894821,7.891882655211451
4.9714566210258635,9.318967188384246,8.752713693772234,5.854582527403727,6.436912308570431,7.963683816372947,7.669712492606473
4.870185046752802,9.04328296066515,8.547475701390574,5.657030885620172,6.283746280321331,7.75899082580723,7.46444444817959
4.7298109084184645,8.785577781832533,8.229798070673649,5.48266436883105,6.0326439550051045,7.5806270505901425,7.216330771092306
4.567560665337575,8.535529969706428,8.046660612977211,5.304609062702037,5.872224124724675,7.336882667946271,6.923600407146137
4.331667426833623,8.195061477468139,7.7506964684748745,5.113415886149524,5.685061089345958,7.167069367087909,6.662428537650239
4.069033627906361,7.917265632935788,7.530651764424484,4.933738851396734,5.51183642034902,6.988448218958956,6.412913075174727
3.8781472632378073,7.669327885879513,7.283733998255857,4.7500595278343996,5.322697469757252,6.7847481071540034,6.160498877768506
3.7502757532572035,7.3068663634092665,7.086855577556897,4.562821298114619,5.1193788891901475,6.6171427830884495,5.985924770104428
3.602488635624115,7.063594637528353,6.937552327083889,4.349556767129521,4.891211912763107,6.443907492679965,5.750957925197254
3.4320147127981397,6.869024716388432,6.723046139588835,4.1755709454993335,4.592180771212607,6.244367135380024,5.460498161448776
3.2539624848012525,6.647195695598467,6.480989222748438,4.01122997370645,4.321395091862778,5.979015795387104,5.263427343626899
3.0654043719495543,6.3089924281352765,6.230265276199483,3.8269406196180813,4.231587022479016,5.749120544409643,5.0097758258363365
2.8706474677796954,5.962606934564871,5.9028626005489215,3.602788075089397,4.060974875123613,5.524223688003286,4.805186335454401
2.742799588025498,5.688067555787308,5.725497523379458,3.4427308559559533,3.7006982528030954,4.944700207708805,4.59676547913374
2.639798226528284,5.271591684647543,5.461890148515588,3.238965660208416,3.4633498733693897,4.757107007453784,4.350911940080922
2.5189960178252035,4.897431216063591,5.224737887761428,3.0343662351800305,3.2752606237188964,4.567729071109719,4.108204301894239
2.376858725612641,4.619891165998804,4.970636317086659,2.8551382460145915,3.0924117580554884,4.309151557418139,3.926170993721238
2.198168787554494,4.3750551447455495,4.708490831665632,2.6946861126638204,2.8853803780247484,4.056728057441859,3.7164145595048343
2.048720077212605,3.939009959529079,4.355699042272887,2.5556224575033677,2.657057311066295,3.777984262712732,3.4500230747949563
1.9208673767732722,3.6840845817546253,4.1140987602554295,2.40381449353734,2.4737502633994337,3.433259415909982,3.299569611661203
1.7948076247076588,3.381823138824604,3.867780247767176,2.25799298047845,2.2275509784576344,3.2208636536348934,2.907419987212109
1.642024518132046,3.0233381399629966,3.558999115240412,2.1084967103274317,2.006585659897143,2.9776746212828833,2.6195441567915596
1.4872870532002707,2.7366802290237637,3.2239359048492346,1.953951077515717,1.8361925924394336,2.786759119935858,2.4049441160534553
1.3210926641696419,2.4980036179698324,2.976854905633875,1.781954921622279,1.634618031605984,2.5892822740900012,2.166028695401301
1.228582960476211,2.259118280812045,2.6809538707584735,1.5990408883582676,1.4268802101333335,2.4141930363492503,1.933837091956113
1.107816199823102,2.0046666942746008,2.411829556689385,1.406349979084815,1.2531798077335028,2.1608371048607564,1.7242975586985922
0.9403964367073516,1.7375043774174654,2.1715298536781167,1.2311288694305575,1.0694101281529191,1.740034486411417,1.609033487169784
0.8085057793915482,1.472268453015064,1.8734886178738952,1.0652417213675864,0.8872736929557082,1.4820430631445922,1.389756052088842
0.6629522892075956,1.2099664890398982,1.6333429877510086,0.8784471337485346,0.751989475541026,1.1753489539764845,1.1674651393569593
0.5268849146658894,0.9413956627333046,1.3131309970515297,0.6830564035214615,0.6067712883747284,0.8747757605167344,0.9283291372875399
0.40537083716216776,0.7279442505137379,1.000825123873178,0.5082683544335468,0.4690312008193992,0.6352128700156502,0.6962705269600626
0.2777532917687752,0.5099757174547762,0.6798989341953584,0.344598021814978,0.33332322714794177,0.399839953945247,0.6244428801990364
0.1708889434263761,0.3192509754780403,0.6360669286255015,0.18058432855057832,0.2719271509690958,0.20755462330712243,0.18984840631549627
0.004808377047760882,0.01685264173160753,0.006046317359747595,0.001638459001878882,0.0008995916991460598,0.0010441835061703068,0.005316972836050023
