KingsCollege,OldHospital,ShopFacade,StMarysChurch
2.3311384755796545,3.9420646339764445,1.4191054394115619,2.955118365001569
2.302232365917115,3.8561083182646567,1.4191054394115619,2.911905693470175
2.285961681904955,3.8198987227089134,1.3654840145175615,2.830932175722656
2.269899951249403,3.6938480551153927,1.3612799518106131,2.5743781768380885
2.2267075890735453,3.669765372764152,1.344264306295597,2.5218261295876125
2.2049285553139315,3.64749890312,1.3002770671556763,2.499195569785333
2.191466121535872,3.5393111058234767,1.3002770671556763,2.461201603159195
2.112676444268888,3.519008987968055,1.247832314079179,2.410430951651595
2.0905242416264067,3.4608753448090352,1.2258338806084026,2.340097225565612
2.054424683689847,3.342969022677852,1.2212299687163692,2.3056724638725234
2.0169433801294505,3.3192701577628045,1.1968708111118525,2.2471468233295657
1.9993341871047217,3.3014455060079975,1.1771927994917444,2.203518720113994
1.9830542033771401,3.2252390846770282,1.1512865335341336,2.162658948512053
1.9530033272583538,3.2069043371828143,1.1419511721442823,2.1209519072461887
1.9245486063654622,3.1049264083413846,1.1166293692360927,2.042734537604681
1.8968217014390392,3.0995174106125516,1.098366758201593,1.990537984443447
1.8691180399748337,3.075001894460021,1.0616665757738244,1.9464755467294372
1.843096411734728,2.986978345242146,1.0413357181889995,1.9019392701708286
1.8255489391120119,2.812562262441914,1.031515898896608,1.828227975921454
1.80678291238859,2.812562262441914,1.015791283141545,1.778762568540369
1.781097159496861,2.699567249213136,1.0126061935877322,1.7402072281200187
1.7652173310217665,2.675138570849888,0.98758669365623,1.7056051295785482
1.7326242141434947,2.6157369638173398,0.9635151355398426,1.6675494325808327
1.7222095087169311,2.566335741745154,0.9635151355398426,1.5283588726162844
1.7042692883980612,2.4811823646614974,0.9635151355398426,1.4654958794421546
1.6829987039663201,2.132084456918175,0.9291009863094282,1.4237483812992013
1.6414756454904988,2.0629508842758026,0.9130110846813552,1.3709822061631831
1.5192351079448034,2.0309319220750957,0.8377766374671971,1.3212856470917262
1.5021735235647682,2.0309319220750957,0.7619493603004082,1.2540779549400416
1.3788850184154606,2.0309319220750957,0.7619493603004082,1.194989915037557
1.3586832236339341,2.0309319220750957,0.7619493603004082,1.1550165259761134
1.3406682456664698,1.6851311926005192,0.573264345075633,1.1243110364616904
1.3094337500910553,1.6722719724280155,0.509699649020671,1.0784750575210131
1.2870813476513243,1.4477426899936976,0.4595145792262203,1.0195939872815445
1.2701646652931378,1.3116102604317494,0.4323635558142471,0.9602480859052946
1.2476904495564067,1.2461179508892262,0.413919565869698,0.9283807835320314
1.2302216931652246,1.2221212110806778,0.34181647127076675,0.8860660312165537
1.2032976226126741,1.1091098616355388,0.33887290512538304,0.8371293913513169
1.1830988386942738,1.007157383922556,0.3087213824853592,0.7940131547377733
1.1666639027690888,0.8732421468780143,0.3087213824853592,0.6117753995409665
1.1435365962602224,0.7753632755389983,0.2336247804756688,0.5652655761347409
1.1227873716989276,0.7041221783115315,0.2007475576991843,0.5337177133127472
1.106463752895064,0.5712455463830964,0.18997493133758278,0.4380305043406472
1.0861441310489146,0.48817937345936785,0.17036064007449697,0.3615845168376348
1.0550035560170747,0.4458651916100172,0.15317947128105364,0.29502263258275324
1.0387684273231914,0.2787063963717507,0.12453282285858867,0.2555066256384804
1.011760913682683,0.1929736407035021,0.09698201154568685,0.14994953995132176
0.9805782670247513,0.12826000536110044,0.07767127875077592,0.11061267663743402
0.9584748194979081,0.06666506830249197,0.06794430696244322,0.07839375129567434
0.946562934713091,0.010964174031545978,0.018937710583339207,0.0452755261322559
